"자치구별(1)",자치구별(2),2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008
"자치구별(1)",자치구별(2),사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실 (개),독서실 (개),독서실 (개),사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실 (개),독서실 (개),독서실 (개),사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실 (개),독서실 (개),독서실 (개)
"자치구별(1)",자치구별(2),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),수강자수 (명),이수자수 (명),이수자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),실험실습실수 (개),사무실수 (개),학생1만명당사설학원수 (개),초ㆍ중ㆍ고 학생수 (명),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),수강자수 (명),이수자수 (명),이수자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),실험실습실수 (개),사무실수 (개),학생1만명당사설학원수 (개),초ㆍ중ㆍ고 학생수 (명),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),수강자수 (명),이수자수 (명),이수자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),실험실습실수 (개),사무실수 (개),학생1만명당사설학원수 (개),초ㆍ중ㆍ고 학생수 (명),독서실수,열람실수,열람좌석수,학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),수강자수 (명),이수자수 (명),이수자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),실험실습실수 (개),사무실수 (개),학생1만명당사설학원수 (개),초ㆍ중ㆍ고 학생수 (명),독서실수,열람실수,열람좌석수,학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),수강자수 (명),이수자수 (명),이수자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),실험실습실수 (개),사무실수 (개),독서실수,열람실수,열람좌석수
"자치구별(1)",자치구별(2),소계,직업기술,인문사회,경영실무,예능,국제실무,입시검정및보충학습,소계,여,소계,여,소계,여,소계,여,소계,소계,소계,소계,소계,소계,직업기술,인문사회,경영실무,예능,국제실무,입시검정및보충학습,소계,여,소계,여,소계,여,소계,여,소계,소계,소계,소계,소계,소계,직업기술,인문사회,경영실무,예능,국제실무,입시검정및보충학습,소계,여,소계,여,소계,여,소계,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,직업기술,인문사회,경영실무,예능,국제실무,입시검정및보충학습,소계,여,소계,여,소계,여,소계,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,직업기술,인문사회,경영실무,예능,국제실무,입시검정및보충학습,소계,여,소계,여,소계,여,소계,여,소계,소계,소계,소계,소계,소계
"서울시",소계,11382,1075,160,668,3818,896,4765,1207223,604234,2339755,1121213,45358,29420,14695,7991,46063,16569,11765,78,1463418,11603,992,208,563,3588,940,5312,1088061,551433,2447078,1240905,39989,23402,11390,5921,49537,14925,13989,80,1443347,11794,891,192,458,3351,991,5911,1146622,583897,2391648,1202540,38622,23464,11356,5877,49422,15741,10335,83,1423300,1132,7654,133061,11549,801,170,379,3119,1027,6053,1093141,541452,2558693,1247408,41552,24479,11696,7092,50396,12085,8634,83,1396357,1132,8089,121858,12006,801,145,333,3046,1156,6525,1079283,546598,2170677,1086209,41060,25540,12150,6513,61744,15521,10888,1147,8534,131497
"서울시",종로구,240,82,2,11,49,42,54,66973,33246,113583,57191,1808,982,844,476,1462,327,317,73,32847,259,74,24,10,44,45,62,57456,31487,320360,179071,1764,886,676,379,792,243,-,81,32060,260,74,20,8,41,47,70,80440,44642,321806,179635,2419,1362,691,379,1012,362,188,84,30954,5,29,1007,136,46,8,6,17,28,31,44532,25477,170074,93807,1013,501,402,228,706,138,154,45,30160,5,17,423,260,71,21,7,34,53,74,87102,48565,378291,212159,2407,1337,726,402,1243,483,222,17,39,1354
"서울시",중구,142,38,3,5,36,14,46,42361,21602,26203,12995,1197,628,621,378,758,215,184,49,29008,120,26,4,2,29,15,44,18568,9569,66331,35279,709,368,214,129,426,92,-,43,28116,139,30,5,1,32,19,52,20448,10734,68207,36446,789,432,292,157,496,224,98,52,26510,1,9,176,80,16,-,1,16,19,28,10048,5039,58816,32576,631,352,186,98,384,77,95,31,25628,1,9,176,145,38,3,-,28,22,54,22589,11880,76175,40943,865,521,208,139,578,266,108,2,6,117
"서울시",용산구,162,25,2,8,45,11,71,41385,21260,29725,14896,1269,714,593,294,1028,273,231,54,30105,161,22,1,7,39,12,80,10105,5095,21882,12214,537,295,139,69,316,141,-,54,29663,149,18,-,5,34,15,77,13117,6908,25032,14258,664,400,184,123,557,173,77,51,29463,7,30,839,88,14,-,3,12,13,46,7788,3763,10721,5464,418,285,136,68,427,57,86,31,28793,7,18,247,160,18,-,5,33,25,79,16532,9060,30240,17924,630,431,357,201,892,184,91,12,27,445
"서울시",성동구,296,24,2,18,109,14,129,13416,6177,27540,13530,724,499,182,111,784,106,281,75,39449,270,26,1,15,94,11,123,17697,8927,19230,9484,855,626,179,108,1111,743,-,68,39591,271,19,2,6,89,11,144,17187,8612,19035,9718,857,615,173,109,1225,698,269,69,39241,18,115,1821,279,18,2,4,86,14,155,17115,8546,19144,9764,876,617,185,117,1290,690,287,73,38237,18,115,1821,286,17,3,5,81,16,164,18278,9081,19762,9892,915,637,205,131,1317,684,295,19,121,1904
"서울시",광진구,407,40,3,30,140,17,177,16194,7968,32702,15804,1095,715,331,201,1404,154,480,71,57131,383,32,3,25,109,24,190,26093,13164,29568,14450,1255,829,255,163,1841,673,-,68,56000,399,26,3,22,106,29,213,26362,13613,28816,14270,1415,936,287,175,2029,643,425,73,54738,40,266,4219,398,27,3,16,100,31,221,26380,13604,28754,14208,1426,942,293,178,2054,630,421,74,53726,40,272,4237,418,26,4,13,105,33,237,26968,13866,29470,14794,1500,975,322,194,2127,625,432,39,268,4227
