"자치구별(1)",자치구별(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"자치구별(1)",자치구별(2),사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실,독서실,독서실,독서실,독서실,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실,독서실,독서실,독서실,독서실,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실,독서실,독서실,독서실,독서실,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실,독서실,독서실,독서실,독서실,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실,독서실,독서실,독서실,독서실,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실,독서실,독서실,독서실,독서실,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실,독서실,독서실,독서실,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실,독서실,독서실,독서실,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실,독서실,독서실,독서실,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실,독서실,독서실,독서실,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,독서실,독서실,독서실,독서실,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원,사설학원
"자치구별(1)",자치구별(2),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),수강자수 (명),이수자수 (명),이수자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),실험실습실 (개),사무실수 (개),독서실수 (개),독서실수 (개),독서실수 (개),열람실수 (개),열람좌석수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),수강자수 (명),이수자수 (명),이수자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),실험실습실 (개),사무실수 (개),독서실수 (개),독서실수 (개),독서실수 (개),열람실수 (개),열람좌석수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),수강자수 (명),이수자수 (명),이수자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),실험실습실 (개),사무실수 (개),독서실수 (개),독서실수 (개),독서실수 (개),열람실수 (개),열람좌석수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),수강자수 (명),이수자수 (명),이수자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),실험실습실 (개),사무실수 (개),독서실수 (개),독서실수 (개),독서실수 (개),열람실수 (개),열람좌석수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),독서실수 (개),독서실수 (개),독서실수 (개),열람실수 (개),열람좌석수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),독서실수 (개),독서실수 (개),독서실수 (개),열람실수 (개),열람좌석수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),강사수 (명),강사수 (명),직원수 (명),직원수 (명),강의실수 (개),독서실수 (개),독서실수 (개),독서실수 (개),열람실수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),강사수 (명),강사수 (명),강의실수 (개),독서실수 (개),독서실수 (개),독서실수 (개),열람실수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),강사수 (명),강사수 (명),강의실수 (개),독서실수 (개),독서실수 (개),독서실수 (개),열람실수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),강사수 (명),강사수 (명),강의실수 (개),독서실수 (개),독서실수 (개),독서실수 (개),열람실수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),강사수 (명),강사수 (명),강의실수 (개),독서실수 (개),독서실수 (개),독서실수 (개),열람실수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),학원수 (개),수강자수 (명),강사수 (명),강사수 (명),강의실수 (개)
"자치구별(1)",자치구별(2),소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,소계,소계,학교교과 교습학원,평생직업 교육학원,소계,소계,소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,소계,소계,학교교과 교습학원,평생직업 교육학원,소계,소계,소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,소계,소계,학교교과 교습학원,평생직업 교육학원,소계,소계,소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,소계,소계,학교교과 교습학원,평생직업 교육학원,소계,소계,소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,소계,여자,소계,여자,소계,소계,학교교과 교습학원,평생직업 교육학원,소계,소계,소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,소계,여자,소계,여자,소계,소계,학교교과 교습학원,평생직업 교육학원,소계,소계,소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,소계,여자,소계,여자,소계,소계,학교교과 교습학원,평생직업 교육학원,소계,소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,소계,여자,소계,소계,학교교과 교습학원,평생직업 교육학원,소계,소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,소계,여자,소계,소계,학교교과 교습학원,평생직업 교육학원,소계,소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,소계,여자,소계,소계,학교교과 교습학원,평생직업 교육학원,소계,소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,소계,여자,소계,소계,학교교과 교습학원,평생직업 교육학원,소계,소계,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,학교교과 교습학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,평생직업 교육학원,소계,소계,여자,소계
"자치구별(1)",자치구별(2),소계,소계,입시검정 및 보습,국제화,예능,기타,소계,직업기술,국제화,인문사회,기예,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,입시검정 및 보습,국제화,예능,특수교육,기타,소계,직업기술,국제화,인문사회,기예,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,입시검정 및 보습,국제화,예능,특수교육,기타,소계,직업기술,국제화,인문사회,기예,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,입시검정 및 보습,국제화,예능,특수교육,기타,소계,직업기술,국제화,인문사회,기예,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,입시검정 및 보습,국제화,예능,특수교육,기타,소계,직업기술,국제화,인문사회,기예,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,입시검정 및 보습,국제화,예능,특수교육,기타,소계,직업기술,국제화,인문사회,기예,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,입시검정 및 보습,국제화,예능,특수교육,종합,기타,소계,직업기술,국제화,인문사회,기예,종합,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,입시검정 및 보습,국제화,예능,특수교육,종합,기타,소계,직업기술,국제화,인문사회,기예,종합,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,입시검정 및 보습,국제화,예능,특수교육,종합,기타,소계,직업기술,국제화,인문사회,기예,종합,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,입시검정 및 보습,국제화,예능,특수교육,종합,기타,소계,직업기술,국제화,인문사회,기예,종합,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,입시검정 및 보습,국제화,예능,특수교육,종합,기타,소계,직업기술,국제화,인문사회,기예,종합,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,입시검정 및 보습,국제화,예능,특수교육,종합,기타,소계,직업기술,국제화,인문사회,기예,종합,소계,소계,소계,소계
"합계",소계,12086,11106,6652,1154,2593,707,980,666,108,161,45,1139056,574496,2269856,1155934,47098,29847,13601,7444,62537,12644,11476,898,781,117,10363,132101,13168,11721,7311,1190,2616,16,588,1447,780,208,268,191,1602753,774461,2891911,1446626,55718,34095,15695,8462,69024,10956,29150,1170,1071,99,9701,122725,13477,11664,7421,1132,2588,1,522,1813,921,225,284,383,1447979,701517,2594326,1302080,60551,36565,14875,8234,70968,9782,17308,1203,1076,127,9341,164295,13688,11885,7725,1070,2551,2,537,1803,937,234,263,369,1113069,562005,2533343,1313617,63519,37878,16312,9094,73440,11480,14875,1221,1047,174,9363,134201,13405,11554,7586,968,2459,3,538,1851,950,225,246,430,1143487,62892,26096,15684,3374,75464,1108,925,183,8753,131203,13671,11695,7691,970,2529,2,503,1976,1023,248,252,453,2250634,86502,42317,20048,10562,82932,1141,927,214,8116,137602,13989,11859,7771,909,2480,1,210,488,2130,1011,244,254,492,129,2468263,74803,43378,15163,9012,112638,1067,863,204,4537,13974,11786,7710,862,2467,1,261,485,2188,1004,236,263,551,134,2448712,79466,44864,117210,1080,876,204,7532,14189,11954,7853,836,2460,2,277,526,2235,1012,239,253,582,149,2629599,87020,48199,70855,1133,938,195,8954,14080,11835,7791,779,2412,2,303,548,2245,1006,227,253,598,161,4412948,87410,48204,66803,1183,966,217,9206,14044,11800,7770,754,2411,1,300,564,2244,974,232,260,618,160,4889794,89772,49536,59205,1184,963,221,9271,13992,11817,7773,747,2361,1,332,603,2175,913,226,257,628,151,5745985,88922,48870,56941
"합계",종로구,255,116,74,7,17,18,139,63,49,17,10,111003,63407,352243,200743,1886,1127,658,337,1345,509,259,4,-,4,47,1450,250,97,71,5,17,1,3,153,72,46,20,15,112990,62443,317187,183352,1839,1086,571,320,1158,396,223,16,12,4,49,1789,299,115,86,6,18,1,4,184,81,58,26,19,52246,28647,221716,131805,2632,1302,1015,583,1543,582,382,17,12,5,62,2044,278,105,79,6,15,1,4,173,73,51,27,22,63581,34541,437846,237594,2343,1361,761,466,1620,439,337,17,11,6,58,2310,280,108,78,8,16,1,5,172,72,49,23,28,40415,2582,1543,761,466,1934,18,12,6,-,3124,273,105,79,7,14,-,5,168,72,46,19,31,40361,2583,1543,761,466,1932,18,12,6,26,780,261,97,74,5,11,-,2,5,164,63,39,18,31,13,48683,3269,1805,403,260,1792,18,12,6,20,278,100,73,6,12,-,2,7,178,67,37,19,36,19,44441,3427,1970,1644,15,10,5,50,297,109,77,7,14,1,1,9,188,75,37,21,36,19,128540,3342,1894,1110,15,8,7,49,274,100,73,5,13,1,1,7,174,64,32,24,33,21,441524,3266,1806,1043,15,8,7,53,259,90,63,5,13,-,2,7,169,60,31,24,32,22,256095,3117,1636,968,13,7,6,46,243,99,67,5,14,-,6,7,144,41,31,21,28,23,266132,3254,1914,951
"합계",중구,143,85,53,7,22,3,58,41,10,4,3,26639,14100,80326,43167,731,438,194,126,542,173,114,-,-,-,6,120,129,76,55,7,13,-,1,53,34,10,5,4,23019,11594,76621,41064,791,481,223,141,432,163,107,2,2,-,9,176,144,83,57,9,15,-,2,61,38,11,6,6,18587,10146,38575,22192,1196,833,371,210,756,231,186,2,2,-,13,271,142,77,55,8,12,-,2,65,43,10,4,8,17590,8855,51086,33657,1101,498,371,235,713,157,181,2,2,-,13,271,135,75,53,10,10,-,2,60,39,10,3,8,18204,1029,566,371,235,765,2,2,-,-,271,129,65,49,5,10,-,1,64,44,9,3,8,17771,1035,566,371,235,765,2,2,-,3,271,126,60,48,4,7,-,1,-,66,44,8,3,7,4,17566,981,610,103,65,702,2,2,-,2,127,65,47,5,9,-,2,2,62,38,9,3,10,2,16191,1243,626,594,2,2,-,16,128,64,46,6,7,-,2,3,64,37,8,3,13,3,30252,1285,641,494,4,4,-,24,119,57,38,7,8,-,1,3,62,35,9,2,12,4,43361,1143,499,496,5,4,1,30,118,56,38,7,8,-,-,3,62,35,10,2,12,3,43237,1212,555,458,7,5,2,36,109,53,34,8,8,-,-,3,56,29,10,2,11,4,42665,1110,479,456
"합계",용산구,159,138,78,26,26,8,21,17,4,-,-,23966,13667,34668,21322,662,472,359,200,697,177,87,-,-,-,34,455,155,131,79,24,25,-,3,24,17,4,1,2,23258,13215,36161,20788,671,476,268,179,584,111,63,9,8,1,55,741,161,136,83,24,27,-,2,25,17,4,2,2,9483,4500,18669,9958,748,517,269,138,812,260,172,8,7,1,45,646,166,135,79,25,29,-,2,31,15,4,4,8,11953,5746,14746,7601,744,517,295,175,1179,90,212,6,5,1,41,603,166,139,78,24,34,-,3,27,20,2,3,2,15908,831,534,295,175,1158,7,6,1,88,1852,162,135,76,24,31,1,3,27,19,2,4,2,15992,832,535,295,175,1161,7,5,2,88,1350,163,129,72,25,31,-,-,1,34,22,2,4,4,2,27433,743,532,82,62,1109,6,4,2,6,165,131,69,27,31,-,3,1,34,22,2,2,5,3,15933,820,591,978,6,5,1,47,175,143,76,30,30,-,3,4,32,20,3,2,4,3,31585,892,665,723,5,4,1,78,158,128,65,28,27,-,3,5,30,17,3,2,4,4,28646,812,615,652,9,7,2,100,155,126,67,24,27,-,3,5,29,15,3,2,6,3,29717,834,622,627,9,7,2,106,154,128,68,25,28,-,4,3,26,14,2,2,6,2,29850,775,581,624
"합계",성동구,279,262,165,17,67,13,17,13,-,4,-,18199,9067,19828,9907,1036,722,209,134,1277,651,284,21,-,21,135,2304,289,268,166,22,67,-,13,21,13,-,5,3,17851,9028,18976,9439,1028,716,218,148,1304,643,279,22,22,-,140,2421,287,261,158,24,69,-,10,26,17,-,5,4,14884,7657,20280,9829,930,631,261,155,1351,201,1677,33,33,-,97,2159,274,247,155,17,65,-,10,27,20,-,4,3,13178,6852,18602,10115,1015,734,200,128,1666,146,1270,21,21,-,132,2185,262,233,144,19,63,-,7,29,16,-,5,8,12709,1144,813,260,163,1762,19,19,-,121,1663,262,232,145,19,63,-,5,30,17,-,4,9,27882,8269,2740,250,155,1297,28,28,-,28,2140,275,240,144,16,63,-,9,8,35,19,-,4,10,2,40544,1216,836,283,177,1560,16,16,-,16,279,245,149,15,61,-,11,9,34,18,-,2,12,2,45318,1384,950,1652,17,17,-,103,295,255,149,15,67,-,11,13,40,21,-,2,16,1,46871,1350,909,1042,19,19,-,122,314,268,159,16,69,-,11,13,46,26,-,3,14,3,54247,1427,953,1112,22,22,-,138,293,251,152,16,62,-,10,11,42,21,-,3,15,3,55887,1563,1048,1044,22,22,-,130,289,246,149,15,60,-,12,10,43,23,1,3,14,2,56822,1325,875,1092
